npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0104841E7,SDN Ancol 01 Pg.,"Jl. Parang Tritis VI No. 2, Ancol, Pademangan",558.0,20.0,"Haryanti, S.Pd",021 - 69830451,Baik,A
2.0104842E7,SDN Ancol 03 Pg.,"Jl. Kampung Muka No. 419, Ancol, Pademangan",416.0,16.0,"Hj. Mulyati, S.Pd, M.Si",2.16926285E8,Padat/Kumuh,A
2.0101023E7,SDN Ancol 04 Pt.,"Jl. Kampung Muka No.420, Ancol, Pademangan",320.0,14.0,"Hartini, S.Pd.MM.",021-6930457,Padat/Kumuh,B
2.0105139E7,SDN Angke 01 Pg.,"Jl. Angke Indah Gg. V, Angke, Tambora",525.0,21.0,"LELA KODARIAH, S.Pd",6.3862863E7,Padat/Kumuh,A
2.0102028E7,SDN Angke 03 Pg.,"Jl. Angke Indah Gg. VII, Angke, Tambora",220.0,11.0,"HARYANTO, S. Pd",6308054.0,Baik,A
2.0102027E7,SDN Angke 04 Pt.,"Jl. Angke Indah Gg. V, Angke, Tambora",222.0,11.0,Sri Nurhayati Dewi,6.3866046E7,Padat/Kumuh,B
2.0105143E7,SDN Angke 05 Pg.,"Jl. Angke Indah I Gg. V NO.8, Angke, Tambora",272.0,11.0,SRI NURHAYATI DEWI,021- 63860833,Baik,B
2.0102025E7,SDN Angke 06 Pg.,"Jl. Angke Indah Gg. V, Angke, Tambora",295.0,13.0,PULUNG,6315881.0,Padat/Kumuh,B
2.0104316E7,SDN Bale Kambang 01 Pg.,"Jl. Munggang Gg. Rawa Elok, Bale Kembang, Kramat Jati",415.0,15.0,"LULUT SUPARMI,S.Pd.SD",8007910.0,Banjir,B
2.0104315E7,SDN Bale Kambang 03 Pg.,"Jl. Gardu Rt. 001/ 02, Bale Kembang, Kramat Jati",457.0,20.0,"Supartinah,S.Pd, MM",021- 8002815,Baik,B
2.0108665E7,SDN Balimester 01 Pg.,"Jl. Matraman Raya No. 226, Bali Mester, Jatinegara",251.0,12.0,"Dra. Resmiyati Mulyani, MM",8.5903773E7,Baik,A
2.0108667E7,SDN Balimester 02 Pt.,"Jl. Matraman Raya No. 226, Bali Mester, Jatinegara",295.0,14.0,Redise Gultom,8.5905543E7,Baik,B
2.0108668E7,SDN Balimester 03 Pt.,"Jl. Matraman Raya No. 177, Bali Mester, Jatinegara",330.0,17.0,Dra. WENING ESTININGSIH,8.5905122E7,Baik,B
2.0108976E7,SDN Balimester 06 Pg.,"Jl. Jatinegara Barat IV/ 12, Bali Mester, Jatinegara",233.0,11.0,"Mawarni Hutabarat,M.MPd",8.5907767E7,Padat/Kumuh,C
2.0108669E7,SDN Balimester 07 Pt.,"Jl. Jatinegara Barat IV/ 12, Bali Mester, Jatinegara",188.0,8.0,"Euis Sri Riwayati, S.Pd, M.M",2.185913961E9,Baik,B
2.0104314E7,SDN Bambu Apus 01 Pg.,"Jl. Bambu Apus Raya, Bambu Apus, Cipayung",388.0,17.0,"Hj.Rr. Sri Kusdianti, M.Pd",021-8449868,Baik,A
2.0104313E7,SDN Bambu Apus 02 Pg.,"Jl. Bambu Apus Raya, Bambu Apus, Cipayung",394.0,15.0,"Sri Mulyati, S.Pd",8448878.0,Baik,B
2.0104312E7,SDN Bambu Apus 03 Pg.,"Jl. Bambu Hijau, Bambu Apus, Cipayung",798.0,31.0,"APUD SYARIFUDIN, S.Pd",8.4598828E7,Baik,A
2.0104311E7,SDN Bambu Apus 04 Pg.,"Jl. Laksamana VIII PAD TMII, Bambu Apus, Cipayung",433.0,18.0,"ISMIATUN, M.Pd.",2.18485584E8,Baik,B
2.0104291E7,SDN Bambu Apus 05 Pg.,"Jl. Laksamana VIII PAD TMII, Bambu Apus, Cipayung",439.0,17.0,"Hj.SRI PENI,S.Pd,SD,M.M",021-8485607,Padat/Kumuh,B
2.0103134E7,SDN Bangka 01 Pg.,"Jl. Kemang Timur. XVIII No. 39, Bangka, Mampang Prapatan",336.0,12.0,"AMAN FIRMANSYAH, S.Pd",2.17190955E8,Baik,A
2.0105813E7,SDN Bangka 03 Pg.,"Jl. Kemang Timur XI, Bangka, Mampang Prapatan",233.0,11.0,T. Sri Umi Widiyaningsih,7199337.0,Banjir,A
2.0103146E7,SDN Bangka 05 Pg.,"Jl. Kemang Selatan I, Bangka, Mampang Prapatan",185.0,11.0,"SUBARYANTO, S.Pd",021-7180943,Banjir,A
2.0103145E7,SDN Bangka 06 Pg.,"Jl. Kemang Selatan I, Bangka, Mampang Prapatan",208.0,10.0,"SUMILAH, S. Pd.",7181806.0,Banjir,A
2.0103144E7,SDN Bangka 07 Pg.,"Jl. Kemang Timur XI, Bangka, Mampang Prapatan",168.0,11.0,"Mariana Tambunan, S.Pd, M.Si",021-7193611,Banjir,A
2.0108989E7,SDN Baru 01 Pg.,"Jl. R.A. Fadillah, Baru, Pasar Rebo",328.0,16.0,"H. A. SUMARTA, S. Ag.",8402627.0,Baik,A
2.0108997E7,SDN Baru 02 Pg.,"Jl. R.A. Fadillah Cijantung III, Baru, Pasar Rebo",421.0,17.0,"SUKARNI,S.Pd.SD",8.7796376E7,Baik,A
2.010899E7,SDN Baru 03 Pg.,"Jl. Gotong Royong, Baru, Pasar Rebo",569.0,23.0,"Mukti Rasyid,S.Pd",8706843.0,Baik,A
